IP,USUARIO,FECHA,METODO,CODIGORESPUESTA,TAMAOBJETO
14476103165,0,30042021141111,2,200,0
162214148112,0,30042021141110,1,200,8165
162214148112,0,30042021141122,2,200,8602
14476103165,0,30042021141422,2,200,0
2124885142,0,30042021141421,1,200,8165
2124885142,0,30042021141422,2,200,8607
2124885142,0,30042021141423,2,200,413
14476103165,0,30042021142305,2,200,0
24172246199,0,30042021142304,1,200,8165
24172246199,0,30042021142306,2,200,8602
24172246199,0,30042021142307,2,200,413
14476103165,0,30042021142906,2,200,0
7768122217,0,30042021142906,1,200,8165
7768122217,0,30042021142907,2,200,8607
7768122217,0,30042021142907,2,200,413
14476103165,0,30042021143817,2,200,0
162214151189,0,30042021143816,1,200,8165
162214151189,0,30042021143818,2,200,8602
162214151189,0,30042021143824,2,200,413
14476103165,0,30042021144320,2,200,0
37187917,0,30042021144320,1,200,8165
37187917,0,30042021144321,2,200,8607
37187917,0,30042021144322,2,200,413
14476103165,0,30042021144835,2,200,0
19310630100,0,30042021144835,1,404,17397
14476103165,0,30042021145115,2,200,0
644161233,0,30042021145114,1,200,8165
644161233,0,30042021145115,2,200,8602
644161233,0,30042021145116,2,200,413
14476103165,0,30042021145726,2,200,0
79133175236,0,30042021145726,1,200,8165
79133175236,0,30042021145727,2,200,8607
79133175236,0,30042021145728,2,200,413
14476103165,0,30042021150553,2,200,0
94204346,0,30042021150552,1,200,8165
94204346,0,30042021150553,2,200,8602
94204346,0,30042021150554,2,200,413
14476103165,0,30042021151145,2,200,0
20810914154,0,30042021151145,1,200,8165
20810914154,0,30042021151146,2,200,8607
20810914154,0,30042021151147,2,200,413
14476103165,0,30042021151952,2,200,0
162214114111,0,30042021151951,1,200,8165
162214114111,0,30042021151953,2,200,8602
162214114111,0,30042021151954,2,200,413
14476103165,0,30042021152549,2,200,0
10394334,0,30042021152549,1,200,8165
10394334,0,30042021152550,2,200,8607
10394334,0,30042021152551,2,200,413
14476103165,0,30042021153405,2,200,0
541621975,0,30042021153404,1,200,8165
541621975,0,30042021153405,2,200,8602
541621975,0,30042021153406,2,200,413
14476103165,0,30042021153937,2,200,0
1679978164,0,30042021153937,1,200,8165
1679978164,0,30042021153939,2,200,8607
1679978164,0,30042021153939,2,200,413
14476103165,0,30042021154925,2,200,0
16317212381,0,30042021154924,1,200,8165
16317212381,0,30042021154925,2,200,8602
16317212381,0,30042021154926,2,200,413
14476103165,0,30042021155400,2,200,0
10423612031,0,30042021155359,1,200,8165
10423612031,0,30042021155401,2,200,8607
14476103165,0,30042021155407,2,200,0
10423612031,0,30042021155406,2,200,413
14476103165,0,30042021160436,2,200,0
18555226126,0,30042021160435,1,200,8165
18555226126,0,30042021160437,2,200,8602
18555226126,0,30042021160437,2,200,413
14476103165,0,30042021160827,2,200,0
128199212194,0,30042021160826,1,200,8165
128199212194,0,30042021160828,2,200,8607
128199212194,0,30042021160828,2,200,413
14476103165,0,30042021161750,2,200,0
138128216120,0,30042021161749,1,200,8165
138128216120,0,30042021161750,2,200,8602
138128216120,0,30042021161751,2,200,413
14476103165,0,30042021162305,2,200,0
68183192217,0,30042021162304,1,200,8165
68183192217,0,30042021162306,2,200,8607
68183192217,0,30042021162308,2,200,413
3523323228,0,30042021163846,1,200,8165
3523323228,0,30042021163848,2,200,8602
14476103165,0,30042021163847,2,200,0
3523323228,0,30042021163849,2,200,413
14476103165,0,30042021164350,2,200,0
17631117166,0,30042021164350,1,200,8165
17631117166,0,30042021164351,2,200,8607
17631117166,0,30042021164351,2,200,413
183917244,0,30042021165305,1,200,8165
14476103165,0,30042021165306,2,200,0
14476103165,0,30042021165305,2,200,0
14476103165,0,30042021165308,2,200,0
183917244,0,30042021165307,2,200,8602
183917244,0,30042021165309,2,200,413
14476103165,0,30042021165843,2,200,0
213149103132,0,30042021165843,1,200,8165
213149103132,0,30042021165844,2,200,8607
213149103132,0,30042021165844,2,200,413
14476103165,0,30042021171355,2,200,0
144918779,0,30042021171354,1,200,8165
144918779,0,30042021171355,2,200,8607
144918779,0,30042021171356,2,200,413
14476103165,0,30042021172317,2,200,0
18551202214,0,30042021172317,1,200,8165
18551202214,0,30042021172318,2,200,8602
18551202214,0,30042021172319,2,200,413
14476103165,0,30042021172817,2,200,0
543922135,0,30042021172817,1,200,8165
543922135,0,30042021172818,2,200,8607
543922135,0,30042021172819,2,200,413
14476103165,0,30042021174336,2,200,0
12415812202,0,30042021174335,1,200,8165
12415812202,0,30042021174338,2,200,8607
12415812202,0,30042021174339,2,200,413
14476103165,0,30042021174832,2,200,0
18516511846,0,30042021174831,1,200,8165
18516511846,0,30042021174832,2,200,8602
18516511846,0,30042021174833,2,200,413
14476103165,0,30042021175328,2,200,0
6423523120,0,30042021175328,1,200,8165
6423523120,0,30042021175330,2,200,8607
6423523120,0,30042021175331,2,200,413
14476103165,0,30042021183218,2,200,0
19310630100,0,30042021183217,1,404,17397
14476103165,0,30042021190408,2,200,0
543614855,0,30042021190408,1,200,21798
14476103165,0,30042021210457,2,200,0
2074613187,0,30042021210457,1,200,274
14476103165,0,30042021213636,2,200,0
407716748,0,30042021213635,1,200,123
2074613124,0,30042021213646,1,200,263
14476103165,0,30042021215639,2,200,0
19310630100,0,30042021215638,1,404,17397
14476103165,0,1052021000517,2,200,0
561253108,0,1052021000517,1,404,17397
14476103165,0,1052021004820,2,200,0
19310630100,0,1052021004819,1,404,17397
14476103165,0,1052021005431,2,200,0
475213558,0,1052021005431,1,404,17397
475213558,0,1052021005434,1,404,17397
14476103165,0,1052021010949,2,200,0
34771626,0,1052021010948,1,200,21859
14476103165,0,1052021011626,2,200,0
9521784141,0,1052021011626,1,404,17397
14476103165,0,1052021012127,2,200,0
1377476181,0,1052021012126,1,400,1
14476103165,0,1052021022425,2,200,0
2074613124,0,1052021022424,1,200,573
14476103165,0,1052021023221,2,200,0
18581157172,0,1052021023221,1,404,17397
14476103165,0,1052021030404,2,200,0
207461366,0,1052021030404,1,200,273
14476103165,0,1052021031823,2,200,0
171222650,0,1052021031822,1,404,17397
14476103165,0,1052021032334,2,200,0
9211816057,0,1052021032334,1,200,21859
19310630100,0,1052021054531,2,404,17397
14476103165,0,1052021054531,2,200,0
14476103165,0,1052021060354,2,200,0
89454691,0,1052021060354,1,200,1209
14476103165,0,1052021062356,2,200,0
1596524780,0,1052021062356,1,404,17397
14476103165,0,1052021062504,2,200,0
10021218158,0,1052021062504,1,200,21798
10021218158,0,1052021062506,1,200,123
10021218158,0,1052021062506,1,302,0
10021218158,0,1052021062507,1,200,4119
14476103165,0,1052021063736,2,200,0
199249230159,0,1052021063736,2,200,415
14476103165,0,1052021063830,2,200,0
4515116711,0,1052021063829,2,200,415
14476103165,0,1052021071148,2,200,0
518862140,0,1052021071148,2,200,8498
518862140,0,1052021071149,2,200,8484
14476103165,0,1052021071938,2,200,0
662496466,0,1052021071938,1,301,0
662497066,0,1052021071939,1,200,123
662496468,0,1052021071940,1,301,0
662497064,0,1052021071941,1,200,21798
662497064,0,1052021071946,1,200,10085
662497064,0,1052021071947,2,200,217
14476103165,0,1052021073258,2,200,0
8723620174,0,1052021073257,1,404,17397
14476103165,0,1052021074328,2,200,0
518862140,0,1052021074328,2,200,8498
518862140,0,1052021074329,2,200,8484
662496466,0,1052021075337,1,301,0
662497094,0,1052021075338,1,200,21798
662497094,0,1052021075409,1,200,44030
662497064,0,1052021075409,1,200,89496
662497064,0,1052021075409,1,200,17963
662497064,0,1052021075409,1,200,3277
662497094,0,1052021075409,1,200,11224
662497066,0,1052021075410,1,200,62841
662497094,0,1052021075410,1,200,169320
662497064,0,1052021075416,1,200,9475
662497094,0,1052021075416,1,200,1805
662497094,0,1052021075416,1,200,69707
662497094,0,1052021075417,1,200,7081
662497094,0,1052021075417,1,200,10085
662497064,0,1052021075417,1,200,85368
662497094,0,1052021075418,1,200,24292
662497064,0,1052021075418,1,200,41730
662497094,0,1052021075420,1,200,2938
14476103165,0,1052021075526,2,200,0
207461366,0,1052021075525,1,200,273
14476103165,0,1052021090813,2,200,0
9521784141,0,1052021090812,1,404,17397
14476103165,0,1052021103047,2,200,0
2074613124,0,1052021103047,1,200,572
14476103165,0,1052021114007,2,200,0
207461366,0,1052021114007,1,200,273
14476103165,0,1052021130425,2,200,0
192160102168,0,1052021130424,2,200,415
14476103165,0,1052021130922,2,200,0
543614960,0,1052021130921,1,200,123
5436148130,0,1052021130923,1,200,21798
14476103165,0,1052021132648,2,200,0
68171208146,0,1052021132647,1,404,17397
14476103165,0,1052021134021,2,200,0
391058772,0,1052021134021,1,404,17397
391058772,0,1052021134024,1,404,17397
14476103165,0,1052021135356,2,200,0
475213558,0,1052021135355,1,404,17397
475213558,0,1052021135358,1,404,17397
14476103165,0,1052021143737,2,200,0
91134248249,0,1052021143737,1,404,17397
14476103165,0,1052021144230,2,200,0
19310630100,0,1052021144229,2,404,17397
14476103165,0,1052021154944,2,200,0
2074613187,0,1052021154944,1,200,274
14476103165,0,1052021161502,2,200,0
185568065,0,1052021161501,2,200,415
14476103165,0,1052021162104,2,200,0
2074613124,0,1052021162103,1,200,263
662496466,0,1052021181424,1,301,0
662497094,0,1052021181425,1,200,21798
14476103165,0,1052021184503,2,200,0
821658193,0,1052021184502,1,404,17397
14476103165,0,1052021195551,2,200,0
1032479109,0,1052021195551,1,404,17397
14476103165,0,1052021204809,2,200,0
3718719670,0,1052021204808,2,200,415
185220101147,0,1052021204823,2,200,415
14476103165,0,1052021210738,2,200,0
2074613124,0,1052021210737,1,200,573
14476103165,0,1052021212256,2,200,0
68171208146,0,1052021212256,1,404,17397
14476103165,0,1052021214834,2,200,0
207461366,0,1052021214833,1,200,273
14476103165,0,2052021023240,2,200,0
118195164214,0,2052021023236,1,301,0
118195164214,0,2052021023241,1,404,17397
14476103165,0,2052021034933,2,200,0
499124361,0,2052021034930,1,200,21798
499124361,0,2052021034935,1,301,0
499124361,0,2052021034936,1,404,17397
499124361,0,2052021034937,1,200,1209
499124361,0,2052021034939,2,200,403
18617910020,0,2052021034945,2,200,413
95217221237,0,2052021043948,1,301,0
95217221237,0,2052021043955,1,404,17397
14476103165,0,2052021043951,2,200,0
14476103165,0,2052021045237,2,200,0
543614917,0,2052021045237,1,200,21798
14476103165,0,2052021052116,2,200,0
2074613124,0,2052021052114,1,200,572
14476103165,0,2052021052809,2,200,0
19310630100,0,2052021052809,1,404,17397
14476103165,0,2052021060425,2,200,0
18581157172,0,2052021060425,1,404,17397
14476103165,0,2052021062417,2,200,0
185568065,0,2052021062417,2,200,415
14476103165,0,2052021062947,2,200,0
9315890135,0,2052021062946,1,200,123
9315890168,0,2052021062948,1,200,572
9315890168,0,2052021062948,1,404,17397
9315890169,0,2052021062949,1,404,17397
9315890141,0,2052021062951,1,200,21798
14476103165,0,2052021081923,2,200,0
44242155185,0,2052021081923,1,200,21798
14476103165,0,2052021082019,2,200,0
5419183239,0,2052021082018,1,302,0
5419183239,0,2052021082020,1,200,4119
14476103165,0,2052021083011,2,200,0
18834153129,0,2052021083011,1,200,21798
14476103165,0,2052021093130,2,200,0
19310630100,0,2052021093129,1,404,17397
14476103165,0,2052021093212,2,200,0
212903968,0,2052021093211,1,200,21798
14476103165,0,2052021093550,2,200,0
1097010050,0,2052021093549,2,200,415
14476103165,0,2052021094231,2,200,0
1754513432,0,2052021094230,1,200,8165
1754513432,0,2052021094232,1,301,0
